ref,title,author,lastRunTime,totalVotes
arie07/voice-transformer-speaker-verification-v1,Voice-Transformer_Speaker-Verification_V1,Arindam Singh,2025-02-11 13:32:43,0
arie07/llms-you-can-t-please-them-all-v1,LLMs - You Can't Please Them All_V1,Arindam Singh,2025-02-11 13:03:31,0
arie07/titanic-v2,Titanic_V2,Arindam Singh,2025-02-06 14:21:02,0
arie07/ecapa-tdnn-v3,ECAPA_TDNN_V3,Arindam Singh,2025-02-06 08:19:48,0
arie07/ecapa-tdnn-v2,ECAPA_TDNN_v2,Arindam Singh,2025-02-11 12:00:42,1
arie07/ecapa-tdnn-v1,ECAPA_TDNN_v1,Arindam Singh,2025-02-06 07:30:57,2
arie07/hello-world,Hello_World,Arindam Singh,2025-02-14 17:47:28,1
arie07/epi63-audio-compile,EPI63_Audio_Compile,Arindam Singh,2025-02-02 08:21:58,1
arie07/housing-prices-competition-v2,Housing_Prices_Competition_v2,Arindam Singh,2025-02-01 10:54:22,0
arie07/audiodataset10percent-notebook,AudioDataset10Percent_Notebook,Arindam Singh,2025-02-01 09:37:57,3
arie07/prepare-augmented-dataset-voxceleb,prepare_augmented_dataset_VoxCeleb,Arindam Singh,2025-01-30 17:25:41,0
arie07/open-webui-v2,Open-webui_v2,Arindam Singh,2025-01-30 14:11:22,0
arie07/learn-pytorch-and-mnist-30jan2024,Learn_Pytorch_and_MNIST_30Jan2024,Arindam Singh,2025-02-01 11:01:18,2
arie07/ollama-webui-serve-v1,Ollama+webui_serve_v1,Arindam Singh,2025-01-28 07:39:31,0
arie07/ollama-server-v1,Ollama_server_v1,Arindam Singh,2025-01-30 13:36:45,1
arie07/housing-prices-competition-v1,Housing_Prices_Competition_v1,Arindam Singh,2025-01-25 18:26:31,0
arie07/exercise-machine-learning-competitions,Exercise: Machine Learning Competitions,Arindam Singh,2025-01-25 18:09:30,0
arie07/exercise-random-forests,Exercise: Random Forests,Arindam Singh,2025-01-25 17:32:20,0
arie07/exercise-underfitting-and-overfitting,Exercise: Underfitting and Overfitting,Arindam Singh,2025-01-25 16:19:13,0
arie07/exercise-model-validation,Exercise: Model Validation,Arindam Singh,2025-01-25 15:56:17,0
arie07/exercise-your-first-machine-learning-model,Exercise: Your First Machine Learning Model,Arindam Singh,2025-01-25 15:14:46,0
arie07/exercise-explore-your-data,Exercise: Explore Your Data,Arindam Singh,2025-01-25 14:56:58,0
arie07/exercise-working-with-external-libraries,Exercise: Working with External Libraries,Arindam Singh,2025-01-25 13:10:47,0
arie07/exercise-strings-and-dictionaries,Exercise: Strings and Dictionaries,Arindam Singh,2025-01-25 11:48:17,0
arie07/exercise-loops-and-list-comprehensions,Exercise: Loops and List Comprehensions,Arindam Singh,2025-01-25 10:20:31,0
arie07/ollama-trial-notebook,Ollama_Trial_Notebook,Arindam Singh,2025-02-02 15:33:22,1
arie07/exercise-lists,Exercise: Lists,Arindam Singh,2025-01-25 09:50:04,0
arie07/exercise-booleans-and-conditionals,Exercise: Booleans and Conditionals,Arindam Singh,2025-01-25 09:06:55,0
arie07/exercise-functions-and-getting-help,Exercise: Functions and Getting Help,Arindam Singh,2025-01-25 07:51:03,0
arie07/exercise-syntax-variables-and-numbers,"Exercise: Syntax, Variables, and Numbers",Arindam Singh,2025-01-25 07:31:58,0
arie07/titanic-v1,Titanic_v1,Arindam Singh,2025-01-25 06:47:30,1
arie07/srxvmainkaggle,SRXVmainKaggle,Arindam Singh,2025-01-25 14:29:19,2
arie07/exercise-intro-to-lists,Exercise: Intro to Lists,Arindam Singh,2025-01-23 03:58:45,0
arie07/exercise-conditions-and-conditional-statements,Exercise: Conditions and Conditional Statements,Arindam Singh,2025-01-23 03:39:53,0
arie07/exercise-data-types,Exercise: Data Types,Arindam Singh,2025-01-23 03:29:20,0
arie07/exercise-functions,Exercise: Functions,Arindam Singh,2025-01-23 03:12:24,0
arie07/exercise-arithmetic-and-variables,Exercise: Arithmetic and Variables,Arindam Singh,2025-01-23 03:04:24,0
arie07/srxv-restoptions,SRXV_RestOptions,Arindam Singh,2025-01-22 12:33:08,0
arie07/srxv-py310,SRXV_Py310,Arindam Singh,2025-01-22 06:24:52,0
arie07/notebook12467bf882,notebook12467bf882,Arindam Singh,2025-01-21 15:01:06,0
arie07/final-srxv-py38,Final_SRXV_Py38,Arindam Singh,2025-01-25 05:41:10,0
arie07/final-srxv-py311,Final_SRXV_Py311,Arindam Singh,2025-01-21 14:08:42,0
arie07/python3-11,python3.11,Arindam Singh,2025-01-20 17:10:12,0
arie07/srxv2,SRXV2,Arindam Singh,2025-01-20 12:51:06,0
arie07/mnist-dgrc-ubyte,Mnist_DgRc_ubyte,Arindam Singh,2025-01-19 17:25:59,1
arie07/srxv1,SRXV1,Arindam Singh,2025-01-18 11:13:11,0
arie07/miniconda-v1,miniconda_v1,Arindam Singh,2025-01-18 09:26:48,0
arie07/sr-x-vector,SR_X_Vector,Arindam Singh,2025-01-18 07:46:58,0
arie07/notebook53ed701a97,notebook53ed701a97,Arindam Singh,2025-01-16 04:30:04,0
